Color Retriever
Instrument: X-Rite SP64
Save Time: 2015-09-11 13:04:57
ID,Date & Time,Condition,Property,X,Y,Z,x,y,L*,a*,b*,C*,h(deg),u*,v*,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,
munsell2.5R3-INC,2015-9-11 13:47:14,D65/2,INCLUDED,11.64,10.56,7.17,0.3962,0.3596,38.83,11.92,13.76,18.21,49.1,22.77,14.05,6.43,6.67,6.53,6.56,6.55,6.55,6.49,6.52,6.51,6.61,6.86,7.53,8.18,8.44,8.6,8.84,9.55,10.76,12.4,13.82,14.6,14.85,15.55,16.77,18.32,19.7,20.53,20.33,19.36,18.52,18.53,
munsell2.5R3-EXC,2015-9-11 13:47:14,D65/2,EXCLUDED,11.63,10.5,7.33,0.3948,0.3563,38.72,12.38,12.96,17.93,46.32,22.98,13.11,5.59,6.22,6.61,6.76,6.76,6.95,6.67,6.51,6.5,6.74,6.73,7.54,8.06,8.32,8.42,8.74,9.44,10.7,12.41,13.75,14.6,14.88,15.49,16.68,18.31,19.67,20.48,20.34,19.28,18.46,18.49,
munsell2.5R4-INC,2015-9-11 13:47:31,D65/2,INCLUDED,36.77,33.79,25.05,0.3846,0.3534,64.79,16.08,16.75,23.22,46.17,33.6,19.49,15.86,17.6,17.95,18.61,19.48,20.77,22.97,25.85,29.39,32.31,34,33.69,30.67,27.02,25.57,26,26.07,27.48,32.98,40.97,48.15,52.06,54.84,57,59.01,61.22,63.94,66.86,70.13,73.45,76.39,
munsell2.5R4-EXC,2015-9-11 13:47:31,D65/2,EXCLUDED,36.64,33.66,24.99,0.3845,0.3532,64.69,16.07,16.67,23.16,46.04,33.53,19.38,15.44,17.72,17.87,18.74,19.85,20.86,22.61,25.68,28.97,32.06,33.85,33.72,30.66,26.83,25.4,25.95,26.04,27.36,32.9,40.96,47.68,51.99,54.69,56.64,58.69,60.97,63.5,66.45,69.6,72.94,75.92,
munsell2.5R5-INC,2015-9-11 13:47:45,D65/2,INCLUDED,17.24,18.33,33.72,0.2488,0.2645,49.89,-1,-21.72,21.74,267.36,-14.63,-31.76,24.64,30.23,31.38,31.93,32.24,32.21,31.68,30.94,29.7,28.04,26.11,24.08,22.01,20.28,19.09,18.07,16.6,15.44,14.91,14.65,14.25,13.63,13.23,13.13,13.51,14.22,14.96,15.25,15.07,14.51,13.87,
munsell2.5R5-EXC,2015-9-11 13:47:45,D65/2,EXCLUDED,17.16,18.29,33.56,0.2486,0.2651,49.85,-1.28,-21.56,21.59,266.61,-14.84,-31.48,23.35,30.36,30.94,31.58,32.34,32.08,31.38,30.8,29.42,28.22,26.17,24.17,22.06,20.29,19.08,17.98,16.64,15.36,14.83,14.57,14.17,13.57,13.16,13.04,13.42,14.12,14.89,15.23,15.07,14.53,13.79,
munsell2.5R6-INC,2015-9-11 13:47:58,D65/2,INCLUDED,10.46,13.15,6.86,0.3433,0.4316,42.99,-14.67,22.12,26.54,123.55,-8.16,27.99,5.68,5.84,5.77,5.86,5.93,6.01,6.03,6.21,6.29,6.57,7.55,10.69,15.3,18.19,18.07,16.32,14.06,12.44,11.56,11.12,10.69,10.42,10.57,11.16,11.87,12.41,12.67,12.44,11.8,11.24,11.13,
munsell2.5R6-EXC,2015-9-11 13:47:58,D65/2,EXCLUDED,10.41,13.12,6.75,0.3439,0.4332,42.94,-14.8,22.46,26.9,123.39,-8.21,28.33,5.47,5.3,5.46,5.7,5.89,5.88,5.75,6.48,6.12,6.68,7.48,10.52,15.26,18.22,18.01,16.28,14.13,12.37,11.54,11.03,10.65,10.37,10.56,11.09,11.83,12.46,12.69,12.48,11.79,11.25,11.04,
munsell2.5R7-INC,2015-9-11 13:48:17,D65/2,INCLUDED,24.79,23.23,43.21,0.2717,0.2546,55.31,12.08,-24.03,26.89,296.68,-0.49,-37.81,33.27,42.87,44.76,44.05,42.63,41.1,39.54,37.72,35.43,33.75,32.04,28.96,25.85,24.36,23.69,21.62,18.38,15.94,15.3,16.53,19.84,24.19,28.02,30.82,33.81,36.92,39.14,39.28,37.7,36.32,36.19,
munsell2.5R7-EXC,2015-9-11 13:48:17,D65/2,EXCLUDED,24.81,23.23,43.46,0.2712,0.2538,55.3,12.22,-24.31,27.21,296.68,-0.53,-38.27,31.3,41.66,45.11,44.7,42.81,41.37,39.64,38.04,35.62,33.99,32.01,29.28,25.85,24.28,23.52,21.46,18.45,15.9,15.37,16.52,19.64,24.29,28.14,30.75,33.75,36.95,39.04,39.28,37.57,36.16,36.04,
munsell2.5R8-INC,2015-9-11 13:48:32,D65/2,INCLUDED,30.41,41.75,44.61,0.2604,0.3575,70.7,-31.72,0.94,31.73,178.31,-40.4,6.44,24.95,30.08,31.95,33.44,35.15,37.69,41.87,46.49,51.06,54.29,55.9,55.97,55.08,53.34,50.89,47.81,43.92,39.62,34.44,29.18,24.37,21.58,20.02,19.24,18.71,18.36,18.63,19.56,20.89,22.12,22.99,
munsell2.5R8-EXC,2015-9-11 13:48:32,D65/2,EXCLUDED,30.34,41.71,44.2,0.261,0.3588,70.67,-31.87,1.35,31.89,177.58,-40.37,7.07,24.33,29.56,31.73,33.08,34.92,37.17,41.19,46.29,50.5,54.42,55.73,56.14,54.94,53.11,50.86,47.71,44.05,39.6,34.55,28.96,24.52,21.55,20.07,19.21,18.75,18.4,18.58,19.59,20.8,21.99,22.79,
munsell2.5R9-INC,2015-9-11 13:48:50,D65/2,INCLUDED,37.48,30.21,6.75,0.5035,0.4059,61.84,31.15,55.06,63.26,60.5,76.86,51.35,5.54,5.71,5.71,5.79,5.85,5.91,5.88,6.04,6.2,6.54,7.47,10.13,13.91,16.79,18.6,20.6,25.54,33.47,43.62,52.49,58.09,59.78,60.36,60.52,60.4,60.23,60.76,61.79,63.04,64.1,64.98,
munsell2.5R9-EXC,2015-9-11 13:48:50,D65/2,EXCLUDED,37.34,30.05,6.97,0.5021,0.4041,61.69,31.29,53.93,62.35,59.88,76.67,50.51,5.28,5.84,6.53,6.13,6.28,6.3,5.84,6.14,6.13,6.53,7.26,9.93,13.84,16.83,18.48,20.5,25.3,33.24,43.39,52.28,57.65,59.62,60.12,60.14,60,59.96,60.36,61.35,62.44,63.64,64.49,
munsell2.5R10-INC,2015-9-11 13:49:01,D65/2,INCLUDED,14.24,12.16,40.18,0.2138,0.1827,41.47,17.81,-44.37,47.81,291.87,-9.88,-66.46,22.68,28.64,33.1,37.27,40.52,41.79,40.6,37.74,32.86,27.06,21.72,17.39,14.03,11.84,10.5,9.69,8.9,8.46,8.45,8.69,8.88,8.85,8.86,9.26,10.32,12.07,14.64,18.01,22.51,27.98,33.88,
munsell2.5R10-EXC,2015-9-11 13:49:01,D65/2,EXCLUDED,14.18,12.16,40.07,0.2136,0.1831,41.47,17.51,-44.24,47.58,291.59,-10.1,-66.25,21.28,28.24,33.13,37.06,40.43,41.63,40.38,37.64,33.01,27.29,21.71,17.61,14.04,11.8,10.51,9.61,8.92,8.46,8.47,8.65,8.85,8.81,8.83,9.18,10.22,11.95,14.43,17.82,22.07,27.43,33.78,
munsell2.5R11-INC,2015-9-11 13:49:13,D65/2,INCLUDED,28.49,19.43,13.97,0.4604,0.3139,51.18,45.04,14.97,47.46,18.38,77.94,9.93,13.87,14.46,14.07,13.77,13.47,13.19,12.74,12.32,11.75,11.3,10.76,10.22,9.76,9.56,9.57,9.69,10.12,11.7,17.49,28.68,42.11,50.78,55.89,58.04,58.72,58.89,58.97,58.94,58.87,58.79,58.75,
