Color Retriever
Instrument: X-Rite SP64
Save Time: 2015-09-11 13:36:25
ID,Date & Time,Condition,Property,X,Y,Z,x,y,L*,a*,b*,C*,h(deg),u*,v*,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,
munsell2.5R27-INC,2015-9-11 13:54:24,D65/2,INCLUDED,83.55,88.52,93.3,0.3148,0.3336,95.38,-1.13,2.07,2.36,118.65,-0.31,3.38,40.89,63.87,79.15,84.52,85.91,86.57,87.21,87.4,87.76,88.06,88.12,88.16,88.33,88.31,88.78,88.95,89.03,89.09,88.68,88.48,88.47,88.29,88.12,88.21,88.31,88.35,88.34,88.11,88.09,88.12,88.09,
munsell2.5R27-EXC,2015-9-11 13:54:24,D65/2,EXCLUDED,82.4,87.33,92.21,0.3146,0.3334,94.88,-1.17,1.95,2.28,121.01,-0.45,3.2,39.05,62.18,77.54,83.52,84.6,85.64,86.58,86.45,86.83,87.13,87.23,87.35,87.28,87.07,87.44,87.76,87.85,87.63,87.52,87.12,87.08,87.15,87.2,86.96,87.03,87.06,86.87,86.82,86.6,86.56,86.39,
munsell2.5R28-INC,2015-9-11 13:54:37,D65/2,INCLUDED,20.15,21.24,23.26,0.3117,0.3286,53.21,-0.21,-0.22,0.3,226.32,-0.4,-0.27,19.12,20.85,20.91,21.18,21.58,21.61,21.52,21.3,21.19,21.12,21.1,21.12,21.19,21.2,21.25,21.25,21.35,21.49,21.51,21.47,21.36,21.14,20.92,20.7,20.49,20.27,20.08,19.88,19.66,19.4,19.25,
munsell2.5R28-EXC,2015-9-11 13:54:37,D65/2,EXCLUDED,18.61,19.65,21.45,0.3117,0.3291,51.44,-0.34,-0.09,0.35,193.98,-0.49,-0.06,17.71,19.34,18.62,19.08,20.41,20.1,19.66,19.65,19.49,19.49,19.55,19.6,19.65,19.68,19.7,19.62,19.76,19.8,20,19.79,19.77,19.52,19.37,19.08,18.89,18.74,18.43,18.27,18.07,17.88,17.64,
munsell2.5R29-INC,2015-9-11 13:54:51,D65/2,INCLUDED,4.8,5.03,5.51,0.3126,0.3281,26.83,0.15,-0.14,0.21,315.44,0.09,-0.18,5.28,5.25,5.15,5.09,5.1,5.07,5,5.05,5.03,5.03,5.02,5.03,5.03,5.02,5.02,5.03,5.04,5.03,5.03,5.04,5.05,5.02,5.04,5.06,5.06,5.06,5.08,5.07,5.07,5.06,5.06,
munsell2.5R29-EXC,2015-9-11 13:54:51,D65/2,EXCLUDED,2.88,3.04,3.33,0.3113,0.3289,20.22,-0.22,-0.09,0.24,202.05,-0.25,-0.06,3.85,3.73,3.38,3.03,3.26,3.1,2.78,2.96,2.9,3.07,3.09,2.99,3.08,3.06,3.07,3.09,3.1,3.05,3.04,3.04,3,2.97,2.98,2.97,2.96,3.01,3.02,2.99,3.02,3.03,3,
munsell2.5R30-INC,2015-9-11 13:55:02,D65/2,INCLUDED,83.4,88.38,93.08,0.3149,0.3337,95.32,-1.16,2.12,2.41,118.62,-0.32,3.46,40.94,63.93,78.99,84.28,85.7,86.35,86.92,87.27,87.51,87.88,87.91,88.04,88.16,88.25,88.78,88.83,88.78,88.8,88.51,88.35,88.29,88.22,88.03,88.07,88.17,88.18,88.21,87.95,87.91,87.93,87.94,
munsell2.5R30-EXC,2015-9-11 13:55:02,D65/2,EXCLUDED,82.49,87.42,92.24,0.3147,0.3335,94.92,-1.16,2,2.31,120.12,-0.4,3.27,40.49,63.56,78.27,83.34,85.43,85.59,86.02,86.24,86.65,86.95,87.18,87.23,87.25,87.26,87.7,87.89,87.96,87.82,87.62,87.28,87.18,87.18,87.27,87.02,87.02,87.06,86.95,86.83,86.62,86.74,86.53,
munsell2.5R31-INC,2015-9-11 13:55:13,D65/2,INCLUDED,20.24,21.34,23.38,0.3116,0.3285,53.32,-0.23,-0.24,0.33,227.17,-0.44,-0.3,19.21,21,21.05,21.25,21.68,21.7,21.7,21.42,21.32,21.23,21.22,21.23,21.29,21.3,21.36,21.35,21.46,21.59,21.6,21.56,21.46,21.23,21,20.8,20.58,20.35,20.16,19.95,19.74,19.48,19.32,
munsell2.5R31-EXC,2015-9-11 13:55:13,D65/2,EXCLUDED,18.62,19.68,21.46,0.3117,0.3293,51.47,-0.41,-0.06,0.42,187.69,-0.57,-0.01,18.06,19.45,18.67,19.01,20.38,20.01,19.78,19.7,19.48,19.54,19.67,19.6,19.7,19.71,19.75,19.64,19.8,19.8,19.98,19.8,19.79,19.55,19.37,19.08,18.89,18.74,18.45,18.28,18.09,17.86,17.63,
